Timestamp	Sensor	NIS
1477010443000000	L	0
1477010443050000	R	2.57688
1477010443100000	L	0.279177
1477010443150000	R	2.45886
1477010443200000	L	0.516014
1477010443250000	R	1.19042
1477010443300000	L	0.660197
1477010443350000	R	3.01934
1477010443400000	L	0.188577
1477010443450000	R	0.315789
1477010443500000	L	0.59528
1477010443550000	R	2.65813
1477010443600000	L	3.55622
1477010443650000	R	2.83297
1477010443700000	L	0.181699
1477010443750000	R	1.21919
1477010443800000	L	9.77488
1477010443850000	R	1.41226
1477010443900000	L	3.67158
1477010443950000	R	1.73069
1477010444000000	L	2.07597
1477010444050000	R	3.72246
1477010444100000	L	3.09999
1477010444150000	R	0.160293
1477010444200000	L	0.295527
1477010444250000	R	1.95637
1477010444300000	L	1.98476
1477010444350000	R	5.47312
1477010444400000	L	0.654247
1477010444450000	R	2.16206
1477010444500000	L	0.221393
1477010444550000	R	6.18866
1477010444600000	L	0.367086
1477010444650000	R	6.82969
1477010444700000	L	0.69281
1477010444750000	R	3.94227
1477010444800000	L	1.8337
1477010444850000	R	3.69243
1477010444900000	L	1.15052
1477010444950000	R	2.08906
1477010445000000	L	2.60199
1477010445050000	R	3.12024
1477010445100000	L	2.60812
1477010445150000	R	0.628928
1477010445200000	L	0.246299
1477010445250000	R	1.48515
1477010445300000	L	0.563529
1477010445350000	R	0.518397
1477010445400000	L	3.49558
1477010445450000	R	2.50954
1477010445500000	L	2.25122
1477010445550000	R	9.61886
1477010445600000	L	1.26186
1477010445650000	R	0.103878
1477010445700000	L	0.291009
1477010445750000	R	1.66117
1477010445800000	L	2.7355
1477010445850000	R	3.19042
1477010445900000	L	0.486358
1477010445950000	R	2.18938
1477010446000000	L	0.197384
1477010446050000	R	1.35231
1477010446100000	L	0.540434
1477010446150000	R	1.3049
1477010446200000	L	0.165363
1477010446250000	R	0.837945
1477010446300000	L	0.504444
1477010446350000	R	2.59487
1477010446400000	L	0.266647
1477010446450000	R	1.82805
1477010446500000	L	0.16422
1477010446550000	R	2.86144
1477010446600000	L	1.48584
1477010446650000	R	0.477338
1477010446700000	L	1.09436
1477010446750000	R	0.986617
1477010446800000	L	0.762265
1477010446850000	R	0.215121
1477010446900000	L	1.54562
1477010446950000	R	0.70163
1477010447000000	L	3.1279
1477010447050000	R	3.9056
1477010447100000	L	2.21965
1477010447150000	R	0.37746
1477010447200000	L	1.23782
1477010447250000	R	2.14022
1477010447300000	L	2.85491
1477010447350000	R	0.433481
1477010447400000	L	3.67702
1477010447450000	R	1.04783
1477010447500000	L	3.55807
1477010447550000	R	1.77092
1477010447600000	L	1.19489
1477010447650000	R	7.80522
1477010447700000	L	0.902892
1477010447750000	R	1.98519
1477010447800000	L	2.06403
1477010447850000	R	4.88483
1477010447900000	L	0.19558
1477010447950000	R	8.00451
1477010448000000	L	5.94235
1477010448050000	R	4.62915
1477010448100000	L	0.678952
1477010448150000	R	2.6708
1477010448200000	L	2.39347
1477010448250000	R	2.18373
1477010448300000	L	0.901461
1477010448350000	R	1.30958
1477010448400000	L	1.46919
1477010448450000	R	0.806001
1477010448500000	L	0.404532
1477010448550000	R	1.32884
1477010448600000	L	0.955164
1477010448650000	R	3.28263
1477010448700000	L	2.24584
1477010448750000	R	6.53903
1477010448800000	L	3.26009
1477010448850000	R	1.71525
1477010448900000	L	0.271695
1477010448950000	R	1.99142
1477010449000000	L	0.331024
1477010449050000	R	0.238049
1477010449100000	L	0.546991
1477010449150000	R	5.72772
1477010449200000	L	2.15123
1477010449250000	R	6.2024
1477010449300000	L	3.754
1477010449350000	R	0.834511
1477010449400000	L	0.918017
1477010449450000	R	3.54682
1477010449500000	L	0.902188
1477010449550000	R	6.22098
1477010449600000	L	0.767339
1477010449650000	R	1.89622
1477010449700000	L	0.156632
1477010449750000	R	3.00293
1477010449800000	L	2.88953
1477010449850000	R	3.23754
1477010449900000	L	0.824683
1477010449950000	R	9.89524
1477010450000000	L	0.743162
1477010450050000	R	3.31344
1477010450100000	L	1.03037
1477010450150000	R	5.3101
1477010450200000	L	1.91712
1477010450250000	R	2.50183
1477010450300000	L	0.552992
1477010450350000	R	1.0972
1477010450400000	L	0.684845
1477010450450000	R	0.0762934
1477010450500000	L	1.38607
1477010450550000	R	1.20152
1477010450600000	L	0.151724
1477010450650000	R	2.45669
1477010450700000	L	2.08868
1477010450750000	R	2.66931
1477010450800000	L	0.211295
1477010450850000	R	0.906856
1477010450900000	L	1.63989
1477010450950000	R	1.01645
1477010451000000	L	0.557087
1477010451050000	R	4.06209
1477010451100000	L	0.216834
1477010451150000	R	5.26623
1477010451200000	L	3.53778
1477010451250000	R	1.21967
1477010451300000	L	1.55193
1477010451350000	R	0.76946
1477010451400000	L	0.68263
1477010451450000	R	1.85255
1477010451500000	L	2.55743
1477010451550000	R	4.75572
1477010451600000	L	2.79983
1477010451650000	R	0.122266
1477010451700000	L	0.0607251
1477010451750000	R	3.22622
1477010451800000	L	2.19785
1477010451850000	R	0.3102
1477010451900000	L	0.0520615
